interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_speedRelative;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;11964.00;DEFAULT_EDGEDATA;0;14.84;0;4740;1;0;0;2.97;4740;1.48;2.47;10802.53;26.69;0.92;765.41;2.28;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;7.67;0;1060;10;0;0;3.84;1060;1.92;2.92;2637.75;11.55;0.40;1576.38;2.49;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;0.29;0;100;100;0;0;0.15;100;0.07;1.06;88.90;28.60;0.98;0.81;0.89;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;1.88;0;488;1002;0;0;0.94;488;0.47;1.10;426.03;21.73;0.75;104.21;0.87;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;5.22;0;1774;1004;0;0;2.61;1774;1.31;1.55;2440.84;28.40;0.98;30.97;1.38;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;15.55;0;4770;1005;0;0;5.18;4770;2.59;4.08;18528.37;25.63;0.88;2027.85;3.88;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;15.78;0;4770;1006;0;0;5.26;4770;2.63;0.70;2381.86;25.27;0.87;290.68;0.50;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;7.70;0;2361;1007;0;0;7.70;2361;3.85;1.15;2256.00;25.64;0.88;244.40;0.96;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;14.62;0;3900;1008;0;0;14.62;3900;7.31;0.52;1143.77;22.30;0.77;258.25;0.29;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;51.36;0;2746;1010;0;0;12.84;2746;6.42;13.04;32746.35;4.47;0.15;27658.61;11.93;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;0.09;0;30;1011;0;0;0.04;30;0.02;2.62;73.39;28.57;0.98;1.05;2.45;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;7.83;0;2361;1013;0;0;7.83;2361;3.91;1.42;2875.23;25.21;0.87;354.52;1.22;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;3.31;0;1030;1014;0;0;3.31;1030;1.66;1.08;918.90;25.99;0.89;87.63;0.89;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;0.09;0;32;1015;0;0;0.09;32;0.05;2.32;68.72;28.32;0.97;0.00;2.15;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;0.70;0;128;1016;0;0;0.70;128;0.35;2.73;307.54;15.22;0.52;143.94;2.40;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;14.42;0;4740;1017;0;0;2.88;4740;1.44;1.93;8280.33;27.47;0.95;363.62;1.75;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;0.37;128;0;102;0;0;0.37;128;0.19;0.62;56.91;28.61;0.98;0.02;0.44;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;76.07;0;3756;1020;0;0;38.03;3756;19.02;8.87;28776.51;4.13;0.14;24643.67;7.66;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;2.09;0;714;1021;0;0;1.04;714;0.52;5.15;3548.81;28.60;0.98;31.80;4.97;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;5.04;0;1647;1022;0;0;1.68;1647;0.84;8.53;13746.14;27.32;0.94;663.79;8.35;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;15.65;0;4938;1023;0;0;2.61;4938;1.30;1.84;8148.77;26.37;0.91;673.48;1.65;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;0.03;0;12;1024;0;0;0.03;12;0.02;1.04;10.43;28.89;0.99;0.00;0.87;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;7.40;0;2241;1026;0;0;2.47;2241;1.23;1.06;1931.45;25.33;0.87;227.99;0.86;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;16.18;0;4740;1027;0;0;3.24;4740;1.62;3.02;13360.76;24.48;0.84;1973.72;2.82;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;7.67;0;2241;1028;0;0;2.56;2241;1.28;1.11;2022.11;24.44;0.84;301.44;0.90;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;62.78;0;3896;103;0;0;15.70;3896;7.85;15.80;57812.79;5.19;0.18;47370.58;14.84;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;0.03;0;12;1031;0;0;0.02;12;0.01;1.41;14.88;28.89;0.99;0.00;1.24;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;112.33;0;3900;1032;0;0;37.44;3900;18.72;10.96;36017.61;2.90;0.10;32388.50;9.24;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;16.10;0;4998;1033;0;0;2.68;4998;1.34;2.85;13298.25;25.96;0.89;1273.35;2.66;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;7.49;0;2229;1036;0;0;2.50;2229;1.25;1.09;1970.75;24.86;0.86;264.69;0.88;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;271.58;0;4024;1037;0;0;67.90;4024;33.95;22.83;75641.66;1.24;0.04;72379.18;18.80;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;1.33;0;444;1038;0;0;0.67;444;0.33;2.97;1238.32;27.86;0.96;38.46;2.79;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;3.40;0;1060;1039;0;0;1.70;1060;0.85;1.90;1806.82;26.05;0.90;166.75;1.70;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;119.58;0;3900;104;0;0;39.86;3900;19.93;11.21;36566.67;2.73;0.09;33105.45;9.38;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;0.37;0;128;1040;0;0;0.12;128;0.06;1.36;152.30;28.58;0.98;0.19;1.19;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;0.37;0;128;1041;0;0;0.12;128;0.06;1.30;144.25;28.57;0.98;0.20;1.13;0.00
